Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
NGC   6426,266.225,3,GCL 76,Globular Cluster,11.2,3.2,NGC
NGC   6427,265.9,25.48333333,NGC 6431,Galaxy,14,,NGC
NGC   6428,265.975,25.53333333,,,,,NGC
NGC   6429,266,25.35,UGC 10960,Galaxy,14,,NGC
NGC   6430,266.15,18.15,UGC 10966,Asterism,,,NGC
NGC   6431,266.075,25.5,NGC 6427,,,,NGC
NGC   6432,266.85,-24.88333333,ESO 520-**25,,,,NGC
NGC   6433,266,36.76666667,UGC 10962,Galaxy,14,,NGC
NGC   6434,264.2,72.08333333,UGC 10934,Galaxy,13,,NGC
NGC   6435,265.025,62.61666667,UGC 10947,Galaxy,15,,NGC
NGC   6436,265.3,60.45,UGC 10951,Galaxy,15,,NGC
NGC   6437,267.275,-35.43333333,ESO 393-?28,,,,NGC
NGC   6438,276.5,-85.41666667,ESO 10-1,Galaxy,13,2.6,NGC
NGC   6439,267.075,-16.48333333,PK 11+5.1,Planetary Nebula,14,0.1,NGC
NGC   6440,267.225,-20.36666667,GCL 77,Globular Cluster,9.7,5.4,NGC
NGC   6441,267.55,-37.05,GCL 78,Globular Cluster,7.4,7.8,NGC
NGC   6442,266.725,20.75,UGC 10978,Galaxy,14,,NGC
NGC   6443,266.15,48.08333333,UGC 10967,Galaxy,15,,NGC
NGC   6444,267.375,-34.81666667,Ru 132,Open Cluster,,12,NGC
NGC   6445,267.3,-20.01666667,PK 8+3.1;H II 586,Planetary Nebula,13,0.6,NGC
NGC   6446,266.525,35.55,MCG 6-39-18,Galaxy,15,,NGC
NGC   6447,266.575,35.55,UGC 10975,Galaxy,14,,NGC
NGC   6448,266.075,53.53333333,,,,,NGC
NGC   6449,265.925,56.78333333,UGC 10965,Galaxy,14,,NGC
NGC   6450,266.875,18.58333333,,,,,NGC
NGC   6451,267.675,-30.21666667,OCL 1035,Open Cluster,8,8,NGC
NGC   6452,267,20.85,ZWG 112. 43,Galaxy,15,,NGC
NGC   6453,267.725,-34.6,GCL 79,Globular Cluster,9.9,3.5,NGC
NGC   6454,266.225,55.7,MCG 9-29-26,Galaxy,15,1.4,NGC
NGC   6455,268,-35.38333333,ESO 394-?3,,,,NGC
NGC   6456,265.6,67.56666667,ZWG 322. 4,Galaxy,15,,NGC
NGC   6457,265.7,66.46666667,UGC 10964,Galaxy,14,,NGC
NGC   6458,267.3,20.81666667,UGC 10994,Galaxy,15,,NGC
NGC   6459,266.475,55.75,ZWG 278. 25,Galaxy,16,,NGC
NGC   6460,267.4,20.76666667,UGC 10997,Galaxy,14,,NGC
NGC   6461,264.675,73.5,UGC 10954,Galaxy,15,,NGC
NGC   6462,266.175,61.88333333,MCG 10-25-85,Galaxy,14,,NGC
NGC   6463,265.875,67.58333333,MCG 11-21-22,Galaxy,15,,NGC
NGC   6464,266.45,60.88333333,MCG 10-25-87,Galaxy,15,,NGC
NGC   6465,268.225,-25.4,ESO 521-**2,,,,NGC
NGC   6466,267.05,51.43333333,ZWG 278. 30,Galaxy,15,,NGC
NGC   6467,267.675,17.53333333,NGC 6468,Galaxy,15,2.7,NGC
NGC   6468,267.675,17.53333333,NGC 6467,Galaxy,14,2.3,NGC
NGC   6469,268.225,-22.35,OCL 21,Open Cluster,8,12,NGC
NGC   6470,266.025,67.56666667,UGC 10974,Galaxy,15,,NGC
NGC   6471,266.025,67.56666667,UGC 10973,Galaxy,15,,NGC
NGC   6472,266.05,67.6,NPM1G +67.0154,Galaxy,15,,NGC
NGC   6473,266.75,57.33333333,,Galaxy,15,,NGC
NGC   6474,266.725,57.33333333,UGC 10989,,,,NGC
NGC   6475,268.475,-34.81666667,M 7,Open Cluster,3.3,80,NGC
NGC   6476,268.45,-29.13333333,,,,,NGC
NGC   6477,265.975,67.61666667,,Galaxy,,,NGC
NGC   6478,267.15,51.15,UGC 10998,Galaxy,14,1.9,NGC
NGC   6479,267.075,54.16666667,UGC 10996,Galaxy,14,,NGC
NGC   6480,268.65,-30.43333333,ESO 456-?13,,,,NGC
NGC   6481,268.2,4.166666667,,Double Star,,,NGC
NGC   6482,267.95,23.06666667,UGC 11009,Galaxy,11.3,2.3,NGC
